Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region
Masterstack 3.0,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/masterstack-30-concetto24-indian-institute-of-technology-indian-school-of-mines-1173044,2024-10-02T00:00:00+05:30,N/A,open,106,5,19090,"All, Coding Challenge, Hackathon","All, Coding Challenge, Hackathon",offline
C-Coders Arena,"Marwadi University (MU), Gujarat",https://unstop.com/hackathons/c-coders-arena-marwadi-university-mu-gujarat-1173049,2024-10-01T00:00:00+05:30,hackathons,open,81,5,16473,"Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
DevHost Hacknight 2024,Sahyadri Open Source Community,https://unstop.com/hackathons/devhost-hacknight-2024-sahyadri-open-source-community-1171745,2024-10-01T06:00:00+05:30,hackathons,open,75,6,19392,"Hackathon, School Students, Engineering Students, Undergraduate","Hackathon, School Students, Engineering Students, Undergraduate",offline
Embedded Development Hackathon,Ksham Innovation Pvt. Ltd.,https://unstop.com/hackathons/embedded-development-hackathon-ksham-innovation-pvt-ltd-1172627,2024-09-30T00:00:00+05:30,hackathons,open,1366,1,33278,"All, Coding Challenge, Hackathon, Others","All, Coding Challenge, Hackathon, Others",online
PCB Designing Challenge,Ksham Innovation Pvt. Ltd.,https://unstop.com/hackathons/pcb-designing-challenge-ksham-innovation-pvt-ltd-1172519,2024-09-30T00:00:00+05:30,hackathons,open,99,1,23256,"Hackathon, Others, Engineering Students, Postgraduate, Undergraduate","Hackathon, Others, Engineering Students, Postgraduate, Undergraduate",online
"AI Frenzy: Dream It, Generate It!","Presidency University (PU), Bangalore",https://unstop.com/hackathons/ai-frenzy-dream-it-generate-it-presidency-university-pu-bangalore-1172108,2024-10-01T00:00:00+05:30,hackathons,open,207,1,21628,"All, Strategy, Designing, Presentation, Social Media & Digital, Dramatics","All, Strategy, Designing, Presentation, Social Media & Digital, Dramatics",online
HackZ'24,"College of Engineering (CEG), Guindy",https://unstop.com/hackathons/hackz24-ceg-guindy-1171819,2024-09-29T00:00:00+05:30,hackathons,open,693,11,29879,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Datahack 3.0: A 24 Hour Datathon,"Shri Vile Parle Kelavani Mandal's Dwarkadas J. Sanghvi College of Engineering (DJSCE), Mumbai",https://unstop.com/hackathons/datahack-30-a-24-hour-datathon-shri-vile-parle-kelavani-mandals-dwarkadas-j-sanghvi-college-of-engineering-dj-1169920,2024-09-28T00:00:00+05:30,hackathons,open,576,4,26686,"Hackathon, Data Science, Engineering Students, Undergraduate, Postgraduate","Hackathon, Data Science, Engineering Students, Undergraduate, Postgraduate",offline
Hack the Block,Indian Institute of Technology (Indian School of Mines)-Dhanbad,https://unstop.com/hackathons/hack-the-block-concetto24-indian-institute-of-technology-indian-school-of-mines-dhanbad-1170942,2024-09-27T00:00:00+05:30,N/A,open,239,N/A,22550,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Case Study, College Festival, Entrepreneurship","Engineering Students, MBA Students, Undergraduate, Postgraduate, Hackathon, Coding Challenge, Case Study, College Festival, Entrepreneurship",offline
Breach Bytes 2.0 - A CTF,"Shri Vile Parle Kelavani Mandal's Dwarkadas J. Sanghvi College of Engineering (DJSCE), Mumbai",https://unstop.com/hackathons/breach-bytes-20-shri-vile-parle-kelavani-mandals-dwarkadas-j-sanghvi-college-of-engineering-djsce-mumbai-1171442,2024-09-27T00:00:00+05:30,hackathons,open,282,N/A,18777,"Coding Challenge, Engineering Students, Undergraduate","Coding Challenge, Engineering Students, Undergraduate",offline
AVISHKAAR Season 2 Hackathon: A National-Level Innovation Challenge,"Aditya Institute of Technology and Management (AITAM), Tekkai, Andhra Pradesh",https://unstop.com/hackathons/avishkaar-season-2-aditya-institute-of-technology-and-management-aitam-tekkai-andhra-pradesh-1171165,2024-09-28T00:00:00+05:30,hackathons,open,364,17,30081,"Hackathon, Data Science, Robotics, Case Study, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher","Hackathon, Data Science, Robotics, Case Study, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher",online
"Codeavour 6.0 International- Biggest Coding, AI, and Robotics Competition",Codeavour International,https://unstop.com/hackathons/codeavour-60-international-biggest-coding-ai-and-robotics-competition-codeavour-international-1170783,2024-09-27T00:00:00+05:30,N/A,open,10,18,24188,"School Students, Coding Challenge","School Students, Coding Challenge",online
Tinkercase,IEEE DTU,https://unstop.com/hackathons/tinkercase-ieee-day-2024-ieee-dtu-1170299,2024-09-26T00:00:00+05:30,hackathons,open,230,1,20095,"Hackathon, Robotics, Engineering Students, MBA Students, Undergraduate, Postgraduate","Hackathon, Robotics, Engineering Students, MBA Students, Undergraduate, Postgraduate",offline
Monthly Coding Challenge,Loyola ICAM College of Engineering and Technology (LICET),https://unstop.com/hackathons/monthly-coding-challenge-loyola-icam-college-of-engineering-and-technology-licet-1170666,2024-09-25T00:00:00+05:30,hackathons,open,200,12,20282,"Coding Challenge, Online Quiz, All","Coding Challenge, Online Quiz, All",online
VisionForge 48,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/visionforge-48-concetto24-indian-institute-of-technology-indian-school-of-mines-1169453,2024-09-25T00:00:00+05:30,N/A,open,99,6,19715,"Designing, All","Designing, All",online
Ascension Arcade,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/ascension-arcade-concetto24-indian-institute-of-technology-indian-school-of-mines-1170051,2024-09-26T00:00:00+05:30,N/A,open,50,9,18089,"Others, Engineering Students, MBA Students, Undergraduate, Postgraduate","Others, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
Imagine Hackathon,PanIIT Alumni India,https://unstop.com/hackathons/imagine-hackathon-paniit-alumni-india-1170040,2024-09-26T00:00:00+05:30,hackathons,open,812,30,29103,"Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals","Hackathon, Engineering Students, MBA Students, Undergraduate, Postgraduate, Experienced Professionals",offline
Code Wars by C3,Indian Institute of Technology (Indian School of Mines),https://unstop.com/hackathons/speedcp-challenge-concetto24-indian-institute-of-technology-indian-school-of-mines-1169471,2024-09-25T00:00:00+05:30,N/A,open,161,8,18748,"Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate","Coding Challenge, Engineering Students, MBA Students, Undergraduate, Postgraduate",online
AlgoVerse,Indian Institute of Technology (Indian School of Mines) Dhanbad,https://unstop.com/hackathons/algoverse-concetto24-indian-institute-of-technology-indian-school-of-mines-dhanbad-1169413,2024-09-25T00:00:00+05:30,hackathons,open,90,5,21953,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Finance, Strategy, Data Science","Engineering Students, MBA Students, Undergraduate, Postgraduate, Finance, Strategy, Data Science",offline
I-Solve,"Nitte Meenakshi Institute of Technology, Bangalore, Karnataka",https://unstop.com/hackathons/i-solve-nitte-meenakshi-institute-of-technology-bangalore-karnataka-1060100,2024-09-25T13:00:00+05:30,hackathons,open,480,2,32311,"Hackathon, Coding Challenge, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals","Hackathon, Coding Challenge, Presentation, Engineering Students, MBA Students, Undergraduate, Postgraduate, Fresher, Experienced Professionals",offline
Techathalon,Atal Bihari Vajpayee Indian Institute of Information Technology and Management (ABV IIITM) Gwalior,https://unstop.com/hackathons/techathalon-infotsav24-atal-bihari-vajpayee-indian-institute-of-information-technology-and-management-abv-iii-1152392,2024-09-10T00:00:00+05:30,hackathons,open,330,1,64404,"All, On Campus Quiz, Coding Challenge","All, On Campus Quiz, Coding Challenge",offline
Void Hacks() 6.0,"Shri Vaishnav Vidyapeeth Vishwavidyalaya (SVVV), Indore",https://unstop.com/hackathons/void-hacks-60-shri-vaishnav-vidyapeeth-vishwavidyalaya-svvv-indore-1163581,2024-09-19T00:00:00+05:30,hackathons,open,703,N/A,29126,"Engineering, Others, Case Study, Coding Challenge, Data Analytics, Hackathon, Engineering Students, Undergraduate, Postgraduate","Engineering, Others, Case Study, Coding Challenge, Data Analytics, Hackathon, Engineering Students, Undergraduate, Postgraduate",online
Innovate & Inspire: Season 5,K. Ramakrishnan College of Engineering ,https://unstop.com/hackathons/innovate-inspire-season-5-k-ramakrishnan-college-of-engineering-1165357,2024-09-21T13:43:34+05:30,N/A,open,223,10,15007,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge",online
Prod-E-G Hackathon,"Delhi Skill and Entrepreneurship University, Delhi",https://unstop.com/hackathons/prod-e-g-hackathon-delhi-skill-and-entrepreneurship-university-delhi-1163247,2024-09-19T00:00:00+05:30,N/A,open,880,6,70444,"Business Plan, Entrepreneurship, Hackathon, Strategy, Case Study, All","Business Plan, Entrepreneurship, Hackathon, Strategy, Case Study, All",online
VJ Hackathon 2024,"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering & Technology, Telangana",https://unstop.com/hackathons/vj-hackathon-2024-vallurupalli-nageswara-rao-vignana-jyothi-institute-of-engineering-technology-telangana-1153692,2024-09-19T00:00:00+05:30,N/A,open,1811,2,49897,"Data Analytics, Data Science, Strategy, Engineering Students, Undergraduate, Hackathon, Coding Challenge","Data Analytics, Data Science, Strategy, Engineering Students, Undergraduate, Hackathon, Coding Challenge",offline
Code & Conquer: The DSA Quiz & Coding Challenge,Mksss cummins college of engineering,https://unstop.com/hackathons/code-conquer-the-dsa-quiz-coding-challenge-mksss-cummins-college-of-engineering-1162254,2024-09-18T00:00:00+05:30,hackathons,open,462,8,27003,"All, Coding Challenge, Online Quiz","All, Coding Challenge, Online Quiz",online
YOU_CAN_DO_IT: THE DSA CODING CONTEST,MKSSS'S CUMMINS COLLEGE OF ENGINEERING PUNE,https://unstop.com/hackathons/you-can-do-it-mkssss-cummins-college-of-engineering-pune-1162222,2024-09-18T00:00:00+05:30,hackathons,open,379,N/A,38091,"Coding Challenge, All","Coding Challenge, All",online
EnigmaXplore 2.0 CTF,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/engimaxplore-20-ctf-tantrafiesta24-iiit-nagpur-1153719,2024-09-14T11:59:00+05:30,hackathons,open,456,13,54218,"Hackathon, All","Hackathon, All",online
WomenInDev: Women’s Only Hackathon,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/womenindev-womens-only-hackathon-tantrafiesta24-iiit-nagpur-1153208,2024-09-12T00:00:00+05:30,N/A,open,340,2,50442,"Hackathon, Coding Challenge, College Festival, Online Quiz, Data Science, Engineering Students, MBA Students, Postgraduate, Undergraduate","Hackathon, Coding Challenge, College Festival, Online Quiz, Data Science, Engineering Students, MBA Students, Postgraduate, Undergraduate",offline
Quant Quest,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/quant-quest-tantrafiesta24-iiit-nagpur-1153126,2024-09-11T00:00:00+05:30,N/A,open,303,11,37140,"College Festival, Hackathon, Coding Challenge, All","College Festival, Hackathon, Coding Challenge, All",online
Design-A-Thon,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/design-a-thon-tantrafiesta24-iiit-nagpur-1153172,2024-09-12T00:00:00+05:30,N/A,open,298,2,49876,"College Festival, Hackathon, Designing, All","College Festival, Hackathon, Designing, All",offline
Analytica,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/analytica-tantrafiesta24-iiit-nagpur-1151638,2024-09-10T00:00:00+05:30,hackathons,open,434,5,55048,"Coding Challenge, Data Science, Hackathon, All, College Festival","Coding Challenge, Data Science, Hackathon, All, College Festival",offline
Cosmic Craftathon Game Jam,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/cosmic-craftathon-game-jam-tantrafiesta24-iiit-nagpur-1153155,2024-09-12T00:00:00+05:30,hackathons,open,613,1,72087,"Simulation Game, College Festival, Hackathon, All","Simulation Game, College Festival, Hackathon, All",offline
GPT 4o-Solve-A-Thon,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/gpt-4o-solve-a-thon-tantrafiesta24-iiit-nagpur-1153065,2024-09-11T00:00:00+05:30,hackathons,open,363,5,35644,"College Festival, Hackathon, All, Coding Challenge","College Festival, Hackathon, All, Coding Challenge",offline
Genathon 2.0,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/genathon-20-tantrafiesta24-iiit-nagpur-1151648,2024-09-10T00:00:00+05:30,hackathons,open,773,3,61021,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon",offline
Bug Bounty Blitz,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/bug-bounty-blitz-tantrafiesta24-iiit-nagpur-1152367,2024-09-10T00:00:00+05:30,hackathons,open,525,3,53066,"Engineering Students, MBA Students, Undergraduate, Postgraduate, College Festival, Coding Challenge, Online Quiz","Engineering Students, MBA Students, Undergraduate, Postgraduate, College Festival, Coding Challenge, Online Quiz",online
Algorithmia: The ICPC Style Coding Challenge,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/algorithmia-the-icpc-style-coding-challenge-tantrafiesta24-iiit-nagpur-1152434,2024-09-11T00:00:00+05:30,N/A,open,751,2,110229,"College Festival, Coding Challenge, All","College Festival, Coding Challenge, All",offline
