Title,Organisations,Link,Uploaded On,Opportunity Type,Status,Applied,Application Deadline,Impressions,Eligibility,Category,Region,Days Until Deadline,Is Online,Total Impressions,Application Status
Prod-E-G Hackathon,"Delhi Skill and Entrepreneurship University, Delhi",https://unstop.com/hackathons/prod-e-g-hackathon-delhi-skill-and-entrepreneurship-university-delhi-1163247,2024-09-19 00:00:00,,open,880,1970-01-01 00:00:00.000000006,70444,"Business Plan, Entrepreneurship, Hackathon, Strategy, Case Study, All","Business Plan, Entrepreneurship, Hackathon, Strategy, Case Study, All",online,-19985,1,71324,0
VJ Hackathon 2024,"Vallurupalli Nageswara Rao Vignana Jyothi Institute of Engineering & Technology, Telangana",https://unstop.com/hackathons/vj-hackathon-2024-vallurupalli-nageswara-rao-vignana-jyothi-institute-of-engineering-technology-telangana-1153692,2024-09-19 00:00:00,,open,1811,1970-01-01 00:00:00.000000002,49897,"Data Analytics, Data Science, Strategy, Engineering Students, Undergraduate, Hackathon, Coding Challenge","Data Analytics, Data Science, Strategy, Engineering Students, Undergraduate, Hackathon, Coding Challenge",offline,-19985,0,51708,0
Code & Conquer: The DSA Quiz & Coding Challenge,Mksss cummins college of engineering,https://unstop.com/hackathons/code-conquer-the-dsa-quiz-coding-challenge-mksss-cummins-college-of-engineering-1162254,2024-09-18 00:00:00,hackathons,open,462,1970-01-01 00:00:00.000000008,27003,"All, Coding Challenge, Online Quiz","All, Coding Challenge, Online Quiz",online,-19984,1,27465,0
YOU_CAN_DO_IT: THE DSA CODING CONTEST,MKSSS'S CUMMINS COLLEGE OF ENGINEERING PUNE,https://unstop.com/hackathons/you-can-do-it-mkssss-cummins-college-of-engineering-pune-1162222,2024-09-18 00:00:00,hackathons,open,379,2099-12-31 00:00:00.000000000,38091,"Coding Challenge, All","Coding Challenge, All",online,27497,1,38470,0
EnigmaXplore 2.0 CTF,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/engimaxplore-20-ctf-tantrafiesta24-iiit-nagpur-1153719,2024-09-14 11:59:00,hackathons,open,456,1970-01-01 00:00:00.000000013,54218,"Hackathon, All","Hackathon, All",online,-19981,1,54674,0
WomenInDev: Women’s Only Hackathon,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/womenindev-womens-only-hackathon-tantrafiesta24-iiit-nagpur-1153208,2024-09-12 00:00:00,,open,340,1970-01-01 00:00:00.000000002,50442,"Hackathon, Coding Challenge, College Festival, Online Quiz, Data Science, Engineering Students, MBA Students, Postgraduate, Undergraduate","Hackathon, Coding Challenge, College Festival, Online Quiz, Data Science, Engineering Students, MBA Students, Postgraduate, Undergraduate",offline,-19978,0,50782,0
Quant Quest,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/quant-quest-tantrafiesta24-iiit-nagpur-1153126,2024-09-11 00:00:00,,open,303,1970-01-01 00:00:00.000000011,37140,"College Festival, Hackathon, Coding Challenge, All","College Festival, Hackathon, Coding Challenge, All",online,-19977,1,37443,0
Design-A-Thon,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/design-a-thon-tantrafiesta24-iiit-nagpur-1153172,2024-09-12 00:00:00,,open,298,1970-01-01 00:00:00.000000002,49876,"College Festival, Hackathon, Designing, All","College Festival, Hackathon, Designing, All",offline,-19978,0,50174,0
Analytica,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/analytica-tantrafiesta24-iiit-nagpur-1151638,2024-09-10 00:00:00,hackathons,open,434,1970-01-01 00:00:00.000000005,55048,"Coding Challenge, Data Science, Hackathon, All, College Festival","Coding Challenge, Data Science, Hackathon, All, College Festival",offline,-19976,0,55482,0
Cosmic Craftathon Game Jam,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/cosmic-craftathon-game-jam-tantrafiesta24-iiit-nagpur-1153155,2024-09-12 00:00:00,hackathons,open,613,1970-01-01 00:00:00.000000001,72087,"Simulation Game, College Festival, Hackathon, All","Simulation Game, College Festival, Hackathon, All",offline,-19978,0,72700,0
GPT 4o-Solve-A-Thon,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/gpt-4o-solve-a-thon-tantrafiesta24-iiit-nagpur-1153065,2024-09-11 00:00:00,hackathons,open,363,1970-01-01 00:00:00.000000005,35644,"College Festival, Hackathon, All, Coding Challenge","College Festival, Hackathon, All, Coding Challenge",offline,-19977,0,36007,0
Genathon 2.0,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/genathon-20-tantrafiesta24-iiit-nagpur-1151648,2024-09-10 00:00:00,hackathons,open,773,1970-01-01 00:00:00.000000003,61021,"Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon","Engineering Students, MBA Students, Undergraduate, Postgraduate, Coding Challenge, College Festival, Hackathon",offline,-19976,0,61794,0
Bug Bounty Blitz,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/bug-bounty-blitz-tantrafiesta24-iiit-nagpur-1152367,2024-09-10 00:00:00,hackathons,open,525,1970-01-01 00:00:00.000000003,53066,"Engineering Students, MBA Students, Undergraduate, Postgraduate, College Festival, Coding Challenge, Online Quiz","Engineering Students, MBA Students, Undergraduate, Postgraduate, College Festival, Coding Challenge, Online Quiz",online,-19976,1,53591,0
Algorithmia: The ICPC Style Coding Challenge,"Indian Institute of Information Technology (IIIT), Nagpur",https://unstop.com/hackathons/algorithmia-the-icpc-style-coding-challenge-tantrafiesta24-iiit-nagpur-1152434,2024-09-11 00:00:00,,open,751,1970-01-01 00:00:00.000000002,110229,"College Festival, Coding Challenge, All","College Festival, Coding Challenge, All",offline,-19977,0,110980,0
AI-Driven India Hackathon,Xavier School of Management (XLRI),https://unstop.com/hackathons/ai-driven-india-hackathon-xavier-school-of-management-xlri-1153731,2024-09-12 00:00:00,,open,1114,1970-01-01 00:00:00.000000030,119211,"Coding Challenge, Data Science, Hackathon, Data Analytics, All","Coding Challenge, Data Science, Hackathon, Data Analytics, All",online,-19978,1,120325,0
